,learning_rate,num_leaves,max_depth,subsample,colsample_bytree,lambda_l2,stopping_rounds,n_estimators,best_iteration,split,train_mse,train_rmse,train_mae,train_r2,valid_mse,valid_rmse,valid_mae,valid_r2,rmse_gap_train_valid
27,0.02,90,-1,0.8,0.8,1,200,3000,1847,valid,0.0011591123938607265,0.03404573973143669,0.017928050471447538,0.9746205033429858,0.02064046047023965,0.1436678825285584,0.10757161854451042,0.5203290570330488,-0.10962214279712171
30,0.02,90,-1,0.8,0.8,5,200,3000,1536,valid,0.0016977799701197345,0.041204125644402824,0.024471006307150094,0.9628260371434033,0.020777864104835737,0.14414528818118105,0.10814039157585932,0.5171358854917054,-0.10294116253677824
63,0.04,60,-1,0.8,0.8,1,200,3000,1398,valid,0.0011912194735490239,0.03451404748141,0.018659064094989214,0.9739174985904427,0.02080606636612466,0.14424308082582216,0.10763694541835014,0.5164804831916567,-0.10972903334441216
42,0.02,120,-1,0.8,0.8,5,200,3000,1339,valid,0.0013456102244634957,0.036682560222311304,0.02010049373684064,0.970537015759389,0.020853322028478876,0.1444067935676119,0.10799004411269705,0.5153822921820784,-0.1077242333453006
24,0.02,90,-1,0.8,0.8,0,200,3000,1446,valid,0.0015497085883811848,0.03936633826483211,0.022920542035579854,0.9660681534021348,0.020917880929474362,0.14463015221410216,0.10797177374641069,0.5138819851050118,-0.10526381394927006
36,0.02,120,-1,0.8,0.8,0,200,3000,1191,valid,0.0013421099892851449,0.03663481935652399,0.019980461252370223,0.970613655615436,0.020924959793293726,0.1446546224401202,0.10842685518687228,0.5137174768912409,-0.10801980308359621
84,0.04,120,-1,0.8,0.8,0,200,3000,649,valid,0.001209399505008877,0.0347764216820661,0.01833112279783207,0.9735194353395418,0.020931598757672087,0.14467756826015596,0.10746396954601208,0.513563191655779,-0.10990114657808986
9,0.02,40,-1,0.8,0.8,10,200,3000,1759,valid,0.004751853033363489,0.06893368576656474,0.04755289751949573,0.895955181901573,0.020960106663712903,0.14477605694213702,0.10911557630971272,0.5129006863695075,-0.07584237117557228
57,0.04,40,-1,0.8,0.8,10,200,3000,1705,valid,0.002218464182829751,0.0471005751857634,0.02957719653943527,0.9514253280268189,0.020962973581424738,0.14478595781851478,0.10862564007377565,0.5128340610573335,-0.09768538263275137
108,0.06,60,-1,0.8,0.8,0,200,3000,597,valid,0.002101607324877337,0.045843290947284066,0.028887089106856844,0.953983982607221,0.020980596037534893,0.14484680195825828,0.10852446050974905,0.5124245265824636,-0.09900351101097421
45,0.02,120,-1,0.8,0.8,10,200,3000,1400,valid,0.0014379136995902988,0.037919832536422136,0.021248644970015433,0.9685159729762911,0.020980892093402873,0.14484782391669843,0.108541224654362,0.5124176464356971,-0.10692799138027628
119,0.06,60,7,0.8,0.8,10,200,3000,1706,valid,0.002075591689090884,0.04555866206431971,0.02802132466276651,0.9545536113550193,0.020984688173211648,0.14486092700660053,0.10867838991658299,0.5123294279977374,-0.09930226494228081
66,0.04,60,-1,0.8,0.8,5,200,3000,1350,valid,0.001437922153591176,0.03791994400828113,0.02177676184847271,0.9685157878706119,0.02100260649513301,0.14492276044546284,0.10858902555501898,0.5119130177928972,-0.10700281643718171
33,0.02,90,-1,0.8,0.8,10,200,3000,1834,valid,0.0015090623501807787,0.03884665172419341,0.022366292505963063,0.9669581284140415,0.021025568873584775,0.14500196161978215,0.10830040120610458,0.5113793869787688,-0.10615530989558875
54,0.04,40,-1,0.8,0.8,5,200,3000,1234,valid,0.002945453500892853,0.05427203240060992,0.03565636956608686,0.935507438557953,0.021046980327510924,0.14507577443360736,0.1089230829638969,0.5108817986468681,-0.09080374203299744
21,0.02,60,-1,0.8,0.8,10,200,3000,2626,valid,0.0017296977956824126,0.04158963567624045,0.024805041394030267,0.962127176229261,0.021048080980563426,0.14507956775701886,0.10913435470359908,0.5108562201822628,-0.1034899320807784
105,0.06,40,-1,0.8,0.8,10,200,3000,1127,valid,0.002198227158923336,0.04688525524003614,0.029481722649460425,0.9518684304242233,0.02105672790620681,0.1451093653290745,0.10913673377591165,0.5106552712265404,-0.09822411008903836
3,0.02,40,-1,0.8,0.8,1,200,3000,1971,valid,0.0035278110256514875,0.05939537882404226,0.03957527962616365,0.9227563533904738,0.02105729308723817,0.14511131274727745,0.10886814397478495,0.5106421367851527,-0.0857159339232352
135,0.06,120,-1,0.8,0.8,1,200,3000,344,valid,0.0016523087806709492,0.04064860121419862,0.02390265942242434,0.9638216575049129,0.02106158108425484,0.14512608684952144,0.10887734571403175,0.5105424865096471,-0.10447748563532283
12,0.02,60,-1,0.8,0.8,0,200,3000,2453,valid,0.0014027589809065912,0.03745342415462959,0.02122127619970058,0.9692857077061043,0.021062105104976248,0.1451278922363866,0.10857786338758285,0.5105303086072239,-0.10767446808175701
39,0.02,120,-1,0.8,0.8,1,200,3000,1642,valid,0.0009291276292125717,0.030481594925669025,0.014146286754912972,0.9796561647650078,0.021099156273845367,0.14525548620911144,0.1086060795867612,0.5096692634219626,-0.11477389128344241
15,0.02,60,-1,0.8,0.8,1,200,3000,2134,valid,0.0017628532922134138,0.041986346497562915,0.0252684821868611,0.9614012157289445,0.02110832433027866,0.1452870411643057,0.10876848430048008,0.5094562037239547,-0.1033006946667428
93,0.04,120,-1,0.8,0.8,10,200,3000,690,valid,0.0014607166431665722,0.03821932290303653,0.02154745503184157,0.9680166881499626,0.02111345183000006,0.14530468619421763,0.10886120191096499,0.5093370439489113,-0.1070853632911811
0,0.02,40,-1,0.8,0.8,0,200,3000,2250,valid,0.0028552783803236395,0.05343480495261155,0.0348644528405573,0.9374818796761344,0.02114677766479005,0.14541931668382316,0.1088956804893902,0.5085625731166388,-0.09198451173121161
117,0.06,60,-1,0.8,0.8,10,200,3000,1060,valid,0.0013210412738484383,0.03634613148394803,0.020460515306944805,0.9710749684232582,0.02115131395054726,0.14543491310736656,0.10925545299638265,0.5084571527714935,-0.10908878162341853
128,0.06,90,7,0.8,0.8,5,200,3000,1338,valid,0.002612165870313944,0.05110935208270541,0.032694954620422094,0.9428049813595858,0.021181789727386463,0.1455396500180843,0.10894805021100157,0.5077489154414596,-0.0944302979353789
87,0.04,120,-1,0.8,0.8,1,200,3000,744,valid,0.00103834599329241,0.03222337650359456,0.015969152774637133,0.9772647598238388,0.021182092752916385,0.14554069105551334,0.1089836190581564,0.5077418733242602,-0.11331731455191879
6,0.02,40,-1,0.8,0.8,5,200,3000,2173,valid,0.0034833184518253154,0.05901964462638957,0.03942855457123216,0.9237305463459319,0.0211864035801876,0.14555549999978565,0.10900278956693175,0.5076416924884146,-0.08653585537339609
90,0.04,120,-1,0.8,0.8,5,200,3000,665,valid,0.0013540359628618145,0.03679722765184647,0.02018461487483139,0.9703525289049255,0.021188969155293173,0.14556431278061657,0.10886447336902788,0.5075820701833832,-0.1087670851287701
110,0.06,60,7,0.8,0.8,0,200,3000,1830,valid,0.0015756882129384561,0.039694939387010734,0.02333597955680829,0.9654993131429036,0.021190445848530547,0.14556938499743188,0.10923786856592117,0.5075477527882521,-0.10587444561042114
78,0.04,90,-1,0.8,0.8,5,200,3000,710,valid,0.0018499913257139647,0.043011525498567994,0.02612010294418095,0.9594932735469444,0.02119058174023605,0.14556985175590462,0.10916056649066949,0.5075445947529644,-0.10255832625733663
129,0.06,90,-1,0.8,0.8,10,200,3000,661,valid,0.0013507419926912553,0.03675244199629809,0.020497940899261137,0.9704246524585816,0.021226071750854288,0.1456917010363126,0.1088782354697228,0.5067198298750828,-0.1089392590400145
68,0.04,60,7,0.8,0.8,5,200,3000,2057,valid,0.0024834638292404805,0.04983436393935896,0.03165815362567656,0.9456229936925359,0.021236499062997627,0.14572748218163115,0.10934085988820132,0.506477505889355,-0.09589311824227219
18,0.02,60,-1,0.8,0.8,5,200,3000,2940,valid,0.0012894222861238075,0.03590852664930445,0.019934020433505048,0.9717672860945261,0.02124219431729743,0.14574702164125836,0.1092210883151344,0.5063451518653563,-0.10983849499195392
104,0.06,40,7,0.8,0.8,5,200,3000,1150,valid,0.003264793902677699,0.05713837504407785,0.03778895294389492,0.9285152791241701,0.021256134522621404,0.1457948370917894,0.10889683730616687,0.5060211905156303,-0.08865646204771155
114,0.06,60,-1,0.8,0.8,5,200,3000,585,valid,0.0025535470397159963,0.05053263341362685,0.032514500846404844,0.9440884776133386,0.021266979523207198,0.14583202502607992,0.10918626626508166,0.5057691597208249,-0.09529939161245307
120,0.06,90,-1,0.8,0.8,0,200,3000,455,valid,0.0016929537149756877,0.04114551877149792,0.024518419094455384,0.962931711042624,0.021274016670453425,0.14585615060892504,0.1096468686724403,0.5056056209732149,-0.10471063183742713
5,0.02,40,7,0.8,0.8,1,200,3000,2982,valid,0.0035991691051350133,0.059993075476549904,0.03998138907893339,0.9211939232505708,0.021314653197871233,0.14599538759108532,0.11017868913085681,0.504661254375701,-0.08600231211453542
81,0.04,90,-1,0.8,0.8,10,200,3000,909,valid,0.001517409505743155,0.03895394082430114,0.02258950596974203,0.9667753621803156,0.021317267569631718,0.1460043409273564,0.10923575041668489,0.5046004980679903,-0.10705040010305525
143,0.06,120,7,0.8,0.8,10,200,3000,1346,valid,0.0026424054063873973,0.051404332564360736,0.032833699367440364,0.9421428676519326,0.02133103444848679,0.14605147876172564,0.10972633826702867,0.504280564713226,-0.0946471461973649
138,0.06,120,-1,0.8,0.8,5,200,3000,468,valid,0.0012503802456824728,0.03536071613644826,0.019117401557551775,0.9726221361850885,0.0213318672647819,0.14605432983921393,0.1093742627345792,0.5042612106015207,-0.11069361370276568
20,0.02,60,7,0.8,0.8,5,200,3000,2803,valid,0.0039303011977627434,0.06269211431881001,0.04204223181889658,0.9139435773113957,0.0213392830621302,0.14607971475235773,0.1099211192753038,0.5040888722705982,-0.08338760043354772
32,0.02,90,7,0.8,0.8,5,200,3000,2999,valid,0.0036724423232094715,0.06060067923059503,0.04024796840168679,0.919589559943769,0.02134507191201095,0.1460995274188488,0.1097114559229746,0.5039543431458726,-0.08549884818825376
75,0.04,90,-1,0.8,0.8,1,200,3000,1084,valid,0.0009498899053462187,0.0308202839919787,0.014970952177602685,0.9792015616389289,0.021345780067910058,0.14610195093806946,0.10867729771109877,0.5039378860610909,-0.11528166694609077
111,0.06,60,-1,0.8,0.8,1,200,3000,649,valid,0.0019940135883403784,0.044654379273934355,0.02747828452455007,0.9563398153040487,0.021352025978304028,0.14612332455259847,0.10911822204786698,0.5037927351458446,-0.10146894527866411
69,0.04,60,-1,0.8,0.8,10,200,3000,1068,valid,0.0022502510197080234,0.047436810808780386,0.029815460905181876,0.950729335192507,0.021362282285456242,0.14615841503470214,0.10951122531715857,0.5035543852054372,-0.09872160422592176
132,0.06,120,-1,0.8,0.8,0,200,3000,284,valid,0.0020598922565464063,0.04538603592016388,0.028111029382754765,0.954897360328708,0.02137388181467249,0.1461980910089885,0.1102938347435869,0.5032848196535856,-0.10081205508882463
123,0.06,90,-1,0.8,0.8,1,200,3000,452,valid,0.0017817921651043281,0.042211280069482944,0.025369597029254762,0.9609865371664786,0.021396264246295257,0.14627461928268778,0.109117297604689,0.5027646664284254,-0.10406333921320485
99,0.06,40,-1,0.8,0.8,1,200,3000,1143,valid,0.0016772319400353668,0.04095402226931277,0.024481148331664225,0.9632759492171561,0.021417531461454295,0.1463472974176643,0.10942938457257387,0.5022704301121221,-0.10539327514835153
44,0.02,120,7,0.8,0.8,5,200,3000,2964,valid,0.0036642003577219084,0.060532638780429096,0.04022694815743873,0.919770022974487,0.021418724655375917,0.14635137394427125,0.11018432572747831,0.5022427010576104,-0.08581873516384216
65,0.04,60,7,0.8,0.8,1,200,3000,1837,valid,0.0026898128798517594,0.05186340598005264,0.03339349173429004,0.9411048511311199,0.021425073921496146,0.14637306419384732,0.11008648086548037,0.5020951482221767,-0.09450965821379469
126,0.06,90,-1,0.8,0.8,5,200,3000,949,valid,0.0007783295726283839,0.02789855861202123,0.012000173918469406,0.9829579832885896,0.021441322021726692,0.14642855603237606,0.10906625533588381,0.5017175528884755,-0.11852999742035483
59,0.04,40,7,0.8,0.8,10,200,3000,1582,valid,0.004094444502907439,0.06398784652500378,0.043311107825341304,0.9103495561567125,0.021445533532256134,0.14644293609545028,0.11053209445487797,0.5016196801094315,-0.0824550895704465
60,0.04,60,-1,0.8,0.8,0,200,3000,1148,valid,0.001516204137865652,0.0389384660440759,0.02270191663032613,0.96680175446995,0.021448076789400413,0.14645161927886088,0.10896646943413515,0.5015605764593766,-0.10751315323478498
83,0.04,90,7,0.8,0.8,10,200,3000,1989,valid,0.002779452947769932,0.05272051733215383,0.03403345190754262,0.9391421253280713,0.021449685280932444,0.14645711072164588,0.10984937366679184,0.5015231961571767,-0.09373659338949206
23,0.02,60,7,0.8,0.8,10,200,3000,2998,valid,0.00405147066793243,0.06365116391655717,0.04265591737387836,0.9112904953674948,0.02145084033989021,0.14646105400375284,0.11006964993423125,0.5014963533345442,-0.08280989008719566
127,0.06,90,5,0.8,0.8,5,200,3000,2116,valid,0.003613033374004543,0.06010851332385907,0.04031299276626819,0.9208903563425731,0.021460523992709476,0.14649410907169433,0.11075048580053622,0.5012713115102168,-0.08638559574783526
139,0.06,120,5,0.8,0.8,5,200,3000,2116,valid,0.003613033374004543,0.06010851332385907,0.04031299276626819,0.9208903563425731,0.021460523992709476,0.14649410907169433,0.11075048580053622,0.5012713115102168,-0.08638559574783526
115,0.06,60,5,0.8,0.8,5,200,3000,2116,valid,0.003613033374004543,0.06010851332385907,0.04031299276626819,0.9208903563425731,0.021460523992709476,0.14649410907169433,0.11075048580053622,0.5012713115102168,-0.08638559574783526
103,0.06,40,5,0.8,0.8,5,200,3000,2116,valid,0.003613033374004543,0.06010851332385907,0.04031299276626819,0.9208903563425731,0.021460523992709476,0.14649410907169433,0.11075048580053622,0.5012713115102168,-0.08638559574783526
56,0.04,40,7,0.8,0.8,5,200,3000,1634,valid,0.0035183684684432716,0.059315836573745395,0.03942368419746479,0.9229631041338606,0.02147018886736065,0.14652709260529484,0.11065338218231319,0.5010467060783625,-0.08721125603154944
38,0.02,120,7,0.8,0.8,0,200,3000,2635,valid,0.0037946822457665206,0.061600992246606874,0.04123967115005527,0.9169130397699513,0.021476068527481514,0.14654715462089843,0.10989306383868684,0.5009100665824286,-0.08494616237429156
26,0.02,90,7,0.8,0.8,0,200,3000,2635,valid,0.0037946822457665206,0.061600992246606874,0.04123967115005527,0.9169130397699513,0.021476068527481514,0.14654715462089843,0.10989306383868684,0.5009100665824286,-0.08494616237429156
47,0.02,120,7,0.8,0.8,10,200,3000,2886,valid,0.004142220491124583,0.06436008461091845,0.043071923968637696,0.9093034707730475,0.02150003065486475,0.14662888751833572,0.11039314504265542,0.5003532022501632,-0.08226880290741727
72,0.04,90,-1,0.8,0.8,0,200,3000,803,valid,0.0013451581804162145,0.03667639813853338,0.02045261203043887,0.9705469135488075,0.021507076642059347,0.14665291214994453,0.10930011218533327,0.5001894580678743,-0.10997651401141115
80,0.04,90,7,0.8,0.8,5,200,3000,1521,valid,0.0034888391069322,0.05906639575030967,0.03908682131603608,0.923609668121722,0.021514980087909762,0.14667985576727896,0.11055723703975599,0.5000057871013655,-0.08761346001696929
71,0.04,60,7,0.8,0.8,10,200,3000,2091,valid,0.002696737300179934,0.051930119393083764,0.03312052375588579,0.9409532365823483,0.02152734920519333,0.14672201336266255,0.11004195049520453,0.4997183368209014,-0.0947918939695788
140,0.06,120,7,0.8,0.8,5,200,3000,1134,valid,0.003134710137023728,0.05598848218181779,0.036914588740137276,0.9313635451879556,0.021528168034422132,0.14672480374640864,0.10998982276606081,0.4996993077595645,-0.09073632156459085
141,0.06,120,-1,0.8,0.8,10,200,3000,489,valid,0.0013257102402699113,0.036410304039789496,0.020035395645243096,0.9709727384597853,0.021530582510823598,0.1467330314238195,0.10982877151696374,0.49964319689062664,-0.11032272738403
11,0.02,40,7,0.8,0.8,10,200,3000,2922,valid,0.004529503185084837,0.06730158382300402,0.04578914998343901,0.9008236720160474,0.02153169990566535,0.14673683895213685,0.11061062810104676,0.4996172293576745,-0.07943525512913283
89,0.04,120,7,0.8,0.8,1,200,3000,1503,valid,0.003279616146781113,0.05726793297108874,0.03785697576139574,0.9281907367444453,0.02153329089768028,0.14674226009463082,0.11064519061120925,0.4995802557329263,-0.08947432712354209
